,0,1
0,0.0,0.0
1,0.25,0.0
2,0.5,0.0
3,0.75,0.0
4,1.0,0.0
5,1.25,0.0
6,1.5,0.0
7,1.75,0.0
8,2.0,0.0
9,2.25,0.0
10,2.5,0.0
11,2.75,0.0
12,3.0,0.0
13,3.25,0.0
14,3.5,0.0
15,3.75,0.0
16,4.0,0.0
17,4.25,0.0
18,4.5,0.0
19,4.75,0.0
20,5.0,0.0
21,5.25,0.0
22,5.5,0.0
23,5.75,0.0
24,6.0,0.0
25,6.25,0.0
26,6.5,0.0
27,6.75,0.0
28,7.0,0.0
29,7.25,0.0
30,7.5,0.028696172791858134
31,7.75,1.1389091887408167
32,8.0,2.6064837132448084
33,8.25,3.9617801980588307
34,8.5,5.178587074367849
35,8.75,6.270693936738545
36,9.0,7.2508359891874825
37,9.25,8.12744429671211
38,9.5,8.90568853730866
39,9.75,9.588645512606018
40,10.0,10.178133483072827
41,10.25,10.675265313681935
42,10.5,11.080812808619031
43,10.75,11.395449871888358
44,11.0,11.619918012628332
45,11.25,11.755141464059323
46,11.5,11.802309089774631
47,11.75,11.762934098996396
48,12.0,11.63889884784422
49,12.25,11.432489724872513
50,12.5,11.14642575074371
51,12.75,10.783883742923777
52,13.0,10.348522527889251
53,13.25,9.844508637409639
54,13.5,9.276546179293986
55,13.75,8.649914161807589
56,14.0,7.970515576535783
57,14.25,7.244944202352804
58,14.5,6.480577729502169
59,14.75,5.901570854814556
60,15.0,5.371165297103408
61,15.25,4.811795396306922
62,15.5,4.228877686526483
63,15.75,3.628696489180659
64,16.0,3.018702540554105
65,16.25,2.408016814484717
66,16.5,1.8083288411897003
67,16.75,1.2356203599260283
68,17.0,0.7138164377493568
69,17.25,0.28361639275613443
70,17.5,0.02633911224696752
71,17.75,0.0
72,18.0,0.0
73,18.25,0.0
74,18.5,0.0
75,18.75,0.0
76,19.0,0.0
77,19.25,0.0
78,19.5,0.0
79,19.75,0.0
80,20.0,0.0
81,20.25,0.0
82,20.5,0.0
83,20.75,0.0
84,21.0,0.0
85,21.25,0.0
86,21.5,0.0
87,21.75,0.0
88,22.0,0.0
89,22.25,0.0
90,22.5,0.0
91,22.75,0.0
92,23.0,0.0
93,23.25,0.0
94,23.5,0.0
95,23.75,0.0
